path_x; path_z
-337.753887; 54.335714
-338.243074; 55.082793
-338.731514; 55.83036
-339.219177; 56.578435
-339.70603; 57.327037
-340.192041; 58.076186
-340.677208; 58.825947
-341.161433; 59.576239
-341.64472; 60.327135
-342.127037; 61.078657
-342.608353; 61.830821
-343.088635; 62.583647
-343.567852; 63.337153
-344.04597; 64.091357
-344.522959; 64.846277
-344.998785; 65.601931
-345.473418; 66.358336
-345.946825; 67.11551
-346.418973; 67.87347
-346.889832; 68.632233
-347.359368; 69.391814
-347.827551; 70.152232
-348.294347; 70.913502
-348.759726; 71.675639
-349.223654; 72.43866
-349.6861; 73.202581
-350.147089; 73.967487
-350.606559; 74.7332
-351.064608; 75.499764
-351.521287; 76.267146
-351.976645; 77.035312
-352.430735; 77.804229
-352.883605; 78.573865
-353.335309; 79.344191
-353.785891; 80.115167
-354.235406; 80.886767
-354.683903; 81.658959
-355.131433; 82.431712
-355.578045; 83.204996
-356.023791; 83.97878
-356.468718; 84.753035
-356.912879; 85.52773
-357.356323; 86.302835
-357.799092; 87.07831
-358.24126; 87.854165
-358.682852; 88.630327
-359.123926; 89.406784
-359.56452; 90.183482
-360.004722; 90.960464
-360.444543; 91.737631
-360.884047; 92.514977
-361.323282; 93.292475
-361.7623; 94.070096
-362.201149; 94.847813
-362.63988; 95.625596
-363.078559; 96.403445
-363.517188; 97.181249
-363.955864; 97.959063
-364.394622; 98.736831
-364.833512; 99.514525
-365.272583; 100.292115
-365.711887; 101.069575
-366.151473; 101.846875
-366.591392; 102.623987
-367.031693; 103.400882
-367.472428; 104.177531
-367.913647; 104.953905
-368.355401; 105.729976
-368.79774; 106.505712
-369.240714; 107.281086
-369.684375; 108.056067
-370.128775; 108.830625
-370.573963; 109.604731
-371.019991; 110.378353
-371.466911; 111.15146
-371.914773; 111.924021
-372.363629; 112.696006
-372.813531; 113.467381
-373.26453; 114.238116
-373.716678; 115.008176
-374.170027; 115.777531
-374.62463; 116.546145
-375.080538; 117.313986
-375.537803; 118.081018
-375.996479; 118.847209
-376.456615; 119.612518
-376.91827; 120.376918
-377.381493; 121.140369
-377.846336; 121.902834
-378.312855; 122.664276
-378.7811; 123.424657
-379.251126; 124.183938
-379.722986; 124.942081
-380.196733; 125.699045
-380.672422; 126.454791
-381.150105; 127.209278
-381.629836; 127.962464
-382.11167; 128.714307
-382.59566; 129.464763
-383.08186; 130.213789
-383.570319; 130.961333
-384.061102; 131.707366
-384.554257; 132.451833
