Timestamp;Lap_Number;Position.x.;Position.y.;Position.z.;Orientation.x.;Orientation.y.;Orientation.z.;Collision_Target;Path_Deviation;Estimated_Path_Center.x.;Estimated_Path_Center.y.;Estimated_Path_Center.z.;Gaze_Target;Gaze_Location.x.;Gaze_Location.y.;Gaze_Location.z.;Gaze_Through_Gate;Norm_Pos.x.;Norm_Pos.y.;Left_X;Left_Y;Right_X;Right_Y;FPS;Flag;gaze_timestamp;world_index;confidence;norm_pos_x;norm_pos_y;gaze_point_3d_x;gaze_point_3d_y;gaze_point_3d_z;gaze_normal0_x;gaze_normal0_y;gaze_normal0_z;gaze_normal1_x;gaze_normal1_y;gaze_normal1_z;lookaheadCondition;orientationCondition
1682440658859;0;-255.4;347.6312;-173.5223;2.647691;0;0;NULL;0.4451;-254.9601;244.7942;-173.4544;GATE_MTL_SQR_Hanging;-254.915242857143;334.591225;-88.0014857142857;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.4033;59.68688;NULL;494763.072018;10;1;0.68528773931734;0.264792893640765;73.326643013251;44.8901379530751;137.250781998894;0.0155418079786451;-0.39430835266193;0.918846763734732;0.53640643298294;0.410485910594551;0.737407252376786;full;original
1682440658876;0;-255.4;347.6363;-172.9639;2.75815;0;0;NULL;0.36;-255.0442;244.8722;-172.909;GATE_MTL_SQR_Hanging;-256.149210714286;333.569689285715;-80.8865678571429;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.3614;60.29836;NULL;494763.095875;11;1;0.690988933264535;0.2761160792894;75.5903802494423;42.4398719356613;136.952845391865;0.0155418079786451;-0.39430835266193;0.918846763734732;0.540933907455323;0.405585378559724;0.736811379162728;full;original
1682440658892;0;-255.4;347.6411;-172.4104;2.861078;0;0;NULL;0.2756;-255.1276;244.9495;-172.3684;GATE_MTL_SQR_Hanging;-257.383178571429;332.548153571428;-73.77165;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.3462;60.29836;NULL;494763.111942;12;1;0.692326593005386;0.268061652359572;75.9126596808594;44.0890762183266;135.802793427797;0.0155418079786451;-0.39430835266193;0.918846763734732;0.541578466318157;0.408883787125055;0.734511275234592;full;original
1682440658909;0;-255.4;347.6455;-171.8617;2.956763;0;0;NULL;0.192;-255.2103;245.0183;-171.8324;GATE_MTL_SQR_Hanging;-256.879371428571;331.514710714286;-66.7103071428571;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.3446;60.29836;NULL;494763.1278015;12;0.902368247509003;0.775660171183036;0.529688285240687;20.3391410519601;-2.45449145007955;22.648339930468;0.0155418079786451;-0.39430835266193;0.918846763734732;0.786081927456108;-0.17491240120343;0.592858208370384;full;original
1682440658926;0;-255.4;347.6496;-171.3165;3.045869;-3e-08;0;NULL;0.1089;-255.2924;245.0695;-171.2999;GATE_MTL_SQR_Hanging;-256.375564285714;330.481267857143;-59.6489642857143;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.3762;59.98512;NULL;494763.141969;13;0.857088834047318;0.774207377332244;0.531844918514232;20.3530320308191;-2.55808186248984;22.8626788757275;0.0157410036669855;-0.394009939290409;0.918971375258187;0.784703955070539;-0.17650244406423;0.594210897018901;full;original
1682440658943;0;-255.4;347.6534;-170.7725;3.129544;-3e-08;0;NULL;0.0259;-255.3744;245.1206;-170.7685;GATE_MTL_SQR_Hanging;-255.88855;329.444546428571;-52.6231285714286;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.4374;59.98512;NULL;494763.1621745;13;0.887056350708008;0.774306368649985;0.528952418432338;20.3736363500777;-2.44022418898673;22.8838764488175;0.0162119431659356;-0.393502510143762;0.919180584765226;0.784836212130324;-0.173181228423277;0.59501292612071;full;original
1682440658959;0;-255.4;347.6569;-170.227;3.209171;0;0;NULL;0.0572;-255.4565;245.1719;-170.2357;GATE_MTL_SQR_Hanging;-255.401535714286;328.407825;-45.5972928571429;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.5072;59.91576;NULL;494763.1760385;14;0.85566321015358;0.774850467023522;0.529152789203418;20.3889175161242;-2.44555193353122;22.8220157221024;0.016553829585089;-0.394410227309067;0.918785363031039;0.785243322725625;-0.172917108297859;0.594552434838784;full;original
1682440658976;0;-255.4;347.6601;-169.6774;3.286125;0;0;NULL;0.141;-255.5393;245.2235;-169.6989;GATE_MTL_SQR_Hanging;-252.543267857143;328.639864285715;-47.1069821428571;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.5796;59.91576;NULL;494763.1959075;14;0.851978927850723;0.781539677161502;0.528734406654954;21.7426451470546;-2.52874582449967;23.3300121168635;0.0440487509755975;-0.393149916582223;0.918418668488876;0.788591560891699;-0.169288118993921;0.591155548783815;full;original
1682440658992;0;-255.4;347.663;-169.1133;3.363465;0;0;NULL;0.227;-255.6243;245.2765;-169.1479;GATE_MTL_SQR_Hanging;-249.685;328.871903571429;-48.6166714285714;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-0.8683;59.91576;NULL;494763.2119105;15;0.886252045631409;0.81255172950303;0.488389344982507;21.8508967916923;-0.720176387379485;19.1750817189656;0.0509295377221434;-0.391078076821943;0.918947289030584;0.816723056939396;-0.150319225758753;0.557106433844429;full;original
1682440659009;0;-255.4;347.6655;-168.5302;3.444557;0;0;NULL;0.3159;-255.7122;245.3313;-168.5783;GATE_MTL_SQR_Hanging;-249.971603571429;329.051705357143;-50.6427285714286;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-1;60.20125;NULL;494763.222163;15;0.886252045631409;0.818008006016063;0.482066726888017;21.8113684419786;-0.464967566431178;18.4173046881218;0.0509295377221434;-0.391078076821943;0.918947289030584;0.82150840491618;-0.148824229850196;0.550431911558161;full;original
1682440659026;0;-255.4;347.6676;-167.9288;3.530084;-3e-08;0;NULL;0.4075;-255.8028;245.388;-167.9909;GATE_MTL_SQR_Hanging;-250.258207142857;329.231507142857;-52.6687857142857;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-1;60.20125;NULL;494763.2379765;15;0.851148933172226;0.815951404242417;0.485217588876157;21.8475446419183;-0.590167568959469;18.7192951546105;0.0513550036667551;-0.390165450692207;0.919311473160503;0.819719514558576;-0.151081414022487;0.552480156918617;full;original
1682440659043;0;-255.4;347.6694;-167.3097;3.619551;0;0;NULL;0.5019;-255.896;245.4731;-167.3862;GATE_MTL_SQR_Hanging;-251.843560714286;329.191696428572;-52.9949607142857;RoundGate42_CenterCollider;0.5273;0.1273;0;0;0;-1;59.79252;NULL;494763.25622;16;1;0.744938316520591;0.235351325414869;94.2993169525695;50.1672494830924;117.916023708877;0.0523375623720992;-0.388347506066613;0.92002553991549;0.578351780861577;0.421040133654586;0.698737735796751;full;original
