Timestamp,Lap_Number,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Collision_Target,Path_Deviation,Estimated_Path_Center(x),Estimated_Path_Center(y),Estimated_Path_Center(z),Gaze_Target,Gaze_Location(x),Gaze_Location(y),Gaze_Location(z),Gaze_Through_Gate,Norm_Pos(x),Norm_Pos(y),Left_X,Left_Y,Right_X,Right_Y,FPS,Flag,gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z,lookaheadCondition,orientationCondition
1682606076426,0,-255.4016,347.2258,-182.409,0.1682098,359.8104,0,NULL,1.8013,-253.6213,243.8439,-182.1344,Terrain_0_0-20210127-113419,-326.484257142857,437.998142857143,760.221114285714,RoundGate42_CenterCollider,0.4664,0.3503,0,0,-0.2138,-1,59.55536,NULL,3171.899746,2,1,0.546319671300538,0.438321499279697,3.93635855492389,1.4054852169983,32.3952149119908,-0.288724872963717,-0.251794966558437,0.923708418575863,0.634669530950973,-0.185258822920509,0.75024912863167,full,offset
1682606076442,0,-255.4023,347.2674,-182.2088,0.2395042,359.8099,0,NULL,1.7715,-253.6515,243.8653,-181.9387,Terrain_0_0-20210127-113419,-325.774885714286,438.422514285714,760.697114285714,RoundGate42_CenterCollider,0.4672,0.353,0,0,-0.1931,-1,59.55536,NULL,3171.91375,2,0.952526956796646,0.546754617373815,0.438373451683781,3.96829207955816,1.40232077719886,32.3716924361343,-0.288307881512299,-0.252849363739523,0.92355062921012,0.63509810231589,-0.184423663108347,0.750092202946047,full,offset
1682606076458,0,-255.403,347.3055,-181.9758,0.3213553,359.8094,0,NULL,1.7367,-253.6866,243.8902,-181.7111,Terrain_0_0-20210127-113419,-324.9369,438.386771428571,760.6718,RoundGate42_CenterCollider,0.4672,0.353,0,0,-0.1541,-1,58.98035,NULL,3171.9286285,3,0.860596179962158,0.546782334805791,0.437745238802921,3.96957065489202,1.42993313587406,32.3628825935422,-0.28836199300946,-0.253267205558475,0.923419235004455,0.635214623950775,-0.183202246088799,0.750292821868299,full,offset
1682606076475,0,-255.4039,347.3402,-181.7111,0.4127831,359.809,0,NULL,1.6972,-253.7265,243.9228,-181.4524,Terrain_0_0-20210127-113419,-324.1509,438.109471428571,760.374685714286,RoundGate42_CenterCollider,0.4684,0.3549,0,0,-0.114,-1,58.98035,NULL,3171.9457855,3,0.908666580915451,0.546849226063774,0.437681127053892,3.98175811176415,1.43527456029128,32.4184129720217,-0.287901943450471,-0.253340228979579,0.923542743644287,0.634944592805467,-0.182615531873706,0.750664326836958,full,offset
1682606076491,0,-255.4049,347.3718,-181.4157,0.5128698,359.8087,0,NULL,1.6531,-253.7711,243.9596,-181.1637,Terrain_0_0-20210127-113419,-323.403385714286,436.919928571429,759.1179,RoundGate42_CenterCollider,0.4684,0.3549,0,0,-0.0807,-1,58.98035,NULL,3171.963768,4,1,0.546866563344201,0.437081451697585,3.99518470008357,1.46641054096554,32.5152550012707,-0.287255396645502,-0.253566492761641,0.923681964123256,0.634441889852438,-0.180823927443923,0.751522584932896,full,offset
1682606076509,0,-255.4059,347.4006,-181.0905,0.6207566,359.8083,0,NULL,1.6046,-253.8201,244.0001,-180.8459,Terrain_0_0-20210127-113419,-322.910185714286,435.502714285714,757.621757142857,RoundGate42_CenterCollider,0.4687,0.3554,0,0,-0.0579,-1,60.92064,NULL,3171.98174,4,0.97289103269577,0.546929288463692,0.439002490342521,3.99901152246057,1.3801890659545,32.5088963259013,-0.287116152958648,-0.255245752834319,0.923262649721231,0.634362232823394,-0.181835733760937,0.751345675102306,full,offset
1682606076526,0,-255.4071,347.4268,-180.7365,0.7356395,359.808,0,NULL,1.5518,-253.8734,244.0442,-180.5,Terrain_0_0-20210127-113419,-322.687842857143,433.306528571429,755.301571428571,RoundGate42_CenterCollider,0.4687,0.3554,0,0,-0.0433,-1,60.92064,NULL,3171.999754,5,0.868602693080902,0.54726082743349,0.439030520799449,4.02826435546629,1.37995703181126,32.5299421714756,-0.286536338716214,-0.25497122032217,0.923518599380938,0.63447222072413,-0.181973505341666,0.75121943830219,full,offset
1682606076542,0,-255.4084,347.4506,-180.3548,0.8567681,359.8078,0,NULL,1.4949,-253.931,244.0917,-180.1269,Terrain_0_0-20210127-113419,-322.868571428571,431.1552,753.016542857143,RoundGate42_CenterCollider,0.4683,0.3539,0,0,-0.0339,-1,57.98345,NULL,3172.013748,5,0.99586409330368,0.546506930981903,0.438725487448651,3.96833078903919,1.39354177645448,32.5351476196011,-0.287509807227609,-0.255302302034937,0.923124501529239,0.633936383574868,-0.181222038305007,0.751853200041468,full,offset
1682606076559,0,-255.4097,347.4722,-179.9463,0.9834404,359.8075,0,NULL,1.434,-253.9925,244.1341,-179.7277,Terrain_0_0-20210127-113419,-322.685371428571,427.5882,749.216671428571,RoundGate42_CenterCollider,0.4683,0.3539,0,0,-0.0276,-1,57.98345,NULL,3172.029714,6,1,0.546150033443972,0.439446997049129,3.95297285143757,1.36576684894969,32.6465903495704,-0.287197339397053,-0.255177129942403,0.923256367753622,0.632988101735635,-0.181530212988245,0.752577467662672,full,offset
1682606076575,0,-255.4112,347.4918,-179.512,1.115003,359.8073,0,NULL,1.3692,-254.058,244.1749,-179.3033,Terrain_0_0-20210127-113419,-322.630785714286,424.481314285714,745.918114285714,RoundGate42_CenterCollider,0.4673,0.3534,0,0,-0.0235,-1,57.98345,NULL,3172.047834,6,0.963682770729065,0.546360599547465,0.438430792634273,3.97077857862895,1.41170958242829,32.6515017865985,-0.286936608751837,-0.255368195264278,0.923284608019359,0.633183564820143,-0.179880173696525,0.752809203153471,full,offset
