Timestamp,Lap_Number,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Collision_Target,Path_Deviation,Estimated_Path_Center(x),Estimated_Path_Center(y),Estimated_Path_Center(z),Gaze_Target,Gaze_Location(x),Gaze_Location(y),Gaze_Location(z),Gaze_Through_Gate,Norm_Pos(x),Norm_Pos(y),Left_X,Left_Y,Right_X,Right_Y,FPS,Flag,gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z,lookaheadCondition,orientationCondition
1683320367949,0,-255.4,347.5002,-178.5393,1.392695,0,0,NULL,1.2098,-254.2043,244.2661,-178.3549,_Sp_PW_Tree_Pine_02Long,-236.49765,297.484853571429,6.57064285714286,NULL,0.4403,0.1032,0,0,0,-1,58.94628,NULL,717469.825141,6,0.937495201826096,0.363247763888725,0.138500536216427,-7.68722875996734,10.7767817261004,20.1140402028842,-0.569095990517168,-0.0460044279404243,0.820983158284722,0.624719914381772,-0.104265461098386,0.773856409288424,full,original
1683320367966,0,-255.4,347.5168,-178.0287,1.535663,-0.00230725,0,NULL,1.132,-254.2812,244.3074,-177.8562,Terrain_0_0-20210127-113419,-230.536,295.703692857143,8.8537,NULL,0.4395,0.1007,-0.2626,0,0,-1,59.30107,NULL,717469.843166,7,0.881037622690201,0.362804294314892,0.138802659626846,-7.70409834192166,10.7547848247074,20.0870466450701,-0.569571026927532,-0.0467774966650756,0.820609962826716,0.62476069390118,-0.10442239498585,0.773802325391657,full,original
1683320367982,0,-255.4,347.5318,-177.4959,1.681299,359.9865,0,NULL,1.0508,-254.3615,244.3481,-177.3357,Terrain_0_0-20210127-113419,-224.57435,293.922532142857,11.1367571428571,NULL,0.4395,0.1007,-0.5601,0,0,-1,59.30107,NULL,717469.8573385,7,0.88410422205925,0.362828040675979,0.139791570681196,-7.71582306810977,10.7408899507364,20.1378333034496,-0.569236688983404,-0.0470670544150211,0.820825367726842,0.624143191742563,-0.10455654510202,0.774282380709864,full,original
1683320368000,0,-255.4,347.5453,-176.9416,1.829146,359.9566,0,NULL,0.9663,-254.445,244.3904,-176.7943,Terrain_0_0-20210127-113419,-217.741935714286,291.410021428571,13.5365928571429,RoundGate42_CenterCollider,0.4365,0.1013,-0.854,0,0,-1,59.28315,NULL,717469.873118,8,0.945626944303513,0.361251710350466,0.140445341904103,-7.85118049583244,10.7805132738437,20.2297948002153,-0.570303409998998,-0.0489217048560793,0.819976028513938,0.621786224505975,-0.100924201052514,0.776657065027105,full,original
1683320368016,0,-255.4,347.5575,-176.3668,1.978781,359.8968,0,NULL,0.8787,-254.5316,244.4342,-176.2328,Terrain_0_0-20210127-113419,-210.909521428571,288.897510714286,15.9364285714286,RoundGate42_CenterCollider,0.4365,0.1013,-1,0,0,-1,59.28315,NULL,717469.891347,8,0.866247832775116,0.362012739974355,0.139381636925236,-7.81332340848638,10.8240894025147,20.2448094925041,-0.569671405581893,-0.0474475809159195,0.820501807875874,0.622117019339722,-0.100652501859852,0.776427387536795,full,original
1683320368033,0,-255.4001,347.5685,-175.7722,2.129812,359.7979,0,NULL,0.7882,-254.6212,244.4959,-175.652,_Sp_PW_Tree_Sequoia_01,-203.316660714286,287.989035714286,11.932125,NULL,0.5861,0.0491,-1,0,0,-1,59.18491,NULL,717469.9097855,9,0.91645422577858,0.360429273637576,0.144062736683362,-7.9687544580771,10.7563911689343,20.4503926744891,-0.569795372253868,-0.0483961242934437,0.820360316514304,0.618340238927851,-0.101855480739086,0.779282240248074,full,original
1683320368049,0,-255.4004,347.5783,-175.1586,2.281877,359.6534,0,NULL,0.6949,-254.7136,244.5709,-175.0526,_Sp_PW_Tree_Sequoia_01,-195.774939285714,287.039442857143,7.61025714285714,NULL,0.5861,0.0491,-1,0,0,-1,59.18491,NULL,717469.9251715,9,0.939056128263474,0.358816672810382,0.150285395718928,-8.04041825099514,10.5211450484285,20.4580123434261,-0.570448950991327,-0.0505242685161623,0.819777587278282,0.617191291640591,-0.108888893527899,0.779242015287478,full,original
1683320368066,0,-255.4008,347.5871,-174.5267,2.434639,359.4591,0,NULL,0.599,-254.8088,244.6538,-174.4354,Terrain_0_0-20210127-113419,-189.098014285714,284.515,10.02205,RoundGate42_CenterCollider,0.4554,0.1364,-1,0,0,-1,59.37643,NULL,717469.943256,10,0.855271875858307,0.35865016583107,0.150891891739178,-8.03857627211394,10.4860907852739,20.4346466869367,-0.570603734928835,-0.0507848122617796,0.819653756490385,0.617390380275475,-0.110055299523602,0.778920374229661,full,original
1683320368083,0,-255.4016,347.595,-173.8774,2.587786,359.2126,0,NULL,0.5008,-254.9066,244.7446,-173.8011,Terrain_0_0-20210127-113419,-182.481767857143,281.994235714286,12.4954964285714,RoundGate42_CenterCollider,0.4554,0.1364,-1,0,0,-1,59.37643,NULL,717469.961208,10,0.980276942253113,0.357646799258853,0.150847374258354,-8.08564167504189,10.4727142398126,20.3833472290372,-0.571727400340157,-0.0516502700610232,0.818816236589693,0.617305194969782,-0.109841755115154,0.779018026169191,full,original
1683320368099,0,-255.4029,347.6021,-173.2113,2.741034,358.9127,0,NULL,0.4005,-255.007,244.8377,-173.1502,_Sp_PW_Tree_Sequoia_01,-174.911275,281.536310714286,7.97509642857143,NULL,0.646,0.2552,-1,0,0,-1,59.24452,NULL,717469.975156,11,0.903918743133545,0.359236417831156,0.148078882422037,-7.91878852766696,10.465435488798,20.184299429722,-0.571340065623268,-0.0534678007539321,0.818969916233885,0.621120578427076,-0.108844834747582,0.776119854792535,full,original
1683320368116,0,-255.4048,347.6083,-172.529,2.894121,358.5595,1e-08,NULL,0.2984,-255.1099,244.933,-172.4835,_Sp_PW_Tree_Sequoia_02,-167.340782142857,281.078385714286,3.45469642857143,NULL,0.5039,0.0222,-1,0,0,-1,59.24452,NULL,717469.9928205,11,0.889638990163803,0.358484740116809,0.146834050971829,-7.96609068804634,10.511099518233,20.1584342911248,-0.572276875408337,-0.052193658013541,0.818397824982469,0.620840201578346,-0.108385289822003,0.776408444734058,full,original
1683320368133,0,-255.4076,347.6139,-171.8312,3.046802,358.1538,0,NULL,0.1949,-255.215,245.0213,-171.8015,_Sp_PW_Tree_Sequoia_01,-160.686267857143,281.007171428571,-1.34013571428571,NULL,0.7949,0.3082,-1,0,0,-1,59.59582,NULL,717470.009176,12,0.885226041078568,0.360125438163421,0.147947677809237,-7.88057386127539,10.4871140184506,20.2346496496543,-0.570360995697792,-0.0532798167572803,0.819664318921431,0.621126068065158,-0.108059039635438,0.776225258235638,full,original
1683320368149,0,-255.4115,347.6188,-171.1186,3.198858,357.6971,-1e-08,NULL,0.0901,-255.3225,245.0883,-171.1048,_Sp_PW_Tree_Sequoia_01,-154.045239285714,280.899428571429,-6.11288571428571,NULL,0.7949,0.3082,-1,0,0,-1,59.59582,NULL,717470.025157,12,0.897101938724518,0.36132591714297,0.151171233642067,-7.72426454504205,10.2665802478308,20.0846047445954,-0.569334855637881,-0.053070599492338,0.820390963885705,0.624058360045817,-0.117304724610615,0.772522339379874,full,original
1683320368166,0,-255.4168,347.6232,-170.3916,3.350083,357.1913,0,NULL,0.0155,-255.4321,245.1566,-170.394,Terrain_0_0-20210127-113419,-150.597407142857,282.129560714286,-12.0992857142857,NULL,0.8329,0.263,-1,0,0,-1,59.59582,NULL,717470.0430545,13,0.88712140917778,0.362619068572223,0.152661386461472,-7.66505368848376,10.2382160907918,20.172782839669,-0.567641527363428,-0.0532872624793125,0.821549489726562,0.623900097296188,-0.117967169871229,0.772549296437697,full,original
1683320368183,0,-255.4238,347.627,-169.6511,3.500293,356.6389,0,NULL,0.1215,-255.5439,245.2263,-169.6696,Terrain_0_0-20210127-113419,-144.091060714286,281.595842857143,-15.8797214285714,NULL,0.8329,0.263,-0.9572,0,0,-1,60.08876,NULL,717470.060016,13,0.876254439353943,0.362539537445604,0.152912036841936,-7.66650114642223,10.2259828052206,20.1668381212538,-0.567709989904426,-0.0538506530270336,0.821465443297086,0.62393217001763,-0.117901401773521,0.772533434018832,full,original
1683320368199,0,-255.4327,347.6303,-168.8974,3.649319,356.0461,-1e-08,NULL,0.2276,-255.6576,245.2972,-168.9321,_Sp_PW_Tree_Sequoia_01,-138.095803571429,281.311246428571,-19.0256964285714,NULL,0.8537,0.1762,-0.6236,0,0,-1,60.08876,NULL,717470.075666,14,0.873928427696228,0.363611656301708,0.154299241919458,-7.62050366065584,10.2018124919504,20.2507267447061,-0.566250662216565,-0.0543050377865868,0.822442186667427,0.623670335240748,-0.118170871246768,0.772703667733933,full,original
1683320368216,0,-255.4438,347.6332,-168.1311,3.797007,355.4241,-3e-08,NULL,0.3334,-255.7733,245.3694,-168.1819,_Sp_PW_Tree_Sequoia_01,-132.100546428571,281.02665,-22.1716714285714,NULL,0.8537,0.1762,-0.2486,0,0,-1,58.21908,NULL,717470.0912975,14,0.891503423452377,0.363068754994576,0.155682490115209,-7.57064147936099,10.049574413025,20.0463189858187,-0.567286860892323,-0.0547725381715599,0.821696772855522,0.625933409859432,-0.124224386615557,0.769919260826571,full,original
