Timestamp,Lap_Number,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Collision_Target,Path_Deviation,Estimated_Path_Center(x),Estimated_Path_Center(y),Estimated_Path_Center(z),Gaze_Target,Gaze_Location(x),Gaze_Location(y),Gaze_Location(z),Gaze_Through_Gate,Norm_Pos(x),Norm_Pos(y),Left_X,Left_Y,Right_X,Right_Y,FPS,Flag,gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z,lookaheadCondition,orientationCondition
1681827797703,0,-255.4,347.2259,-182.4447,0.1553419,0,0,NULL,1.8052,-253.6159,243.8401,-182.1695,NULL,-292.2738,369.807885714286,247.076528571429,NULL,0.5606,0.6608,0,0,0,-1,59.51354,FLAG,244334.2018995,2,0.99,0.466359459986983,0.559511741794544,-1.65560740628026,-2.77661434724911,22.5152096815353,-0.418668360718988,-0.385315736130551,0.822343351175801,0.641140441552193,-0.254422740590947,0.724022101372915,full,original
1681827797720,0,-255.4,347.2675,-182.2537,0.2232656,0,0,NULL,1.7761,-253.6447,243.8605,-181.983,NULL,-273.2335,363.3325,168.754,NULL,0.5765,0.6673,0,0,0,-1,59.51354,FLAG,244334.217602,2,0.949284166097641,0.473748444819223,0.518719054459625,-1.34370417239806,-1.62684925562064,24.3635401674072,-0.404424613148088,-0.346105894524953,0.846552681204839,0.633887163744793,-0.240561538508916,0.735062725098889,full,original
1681827797736,0,-255.4,347.3056,-182.0298,0.302043,0,0,NULL,1.7419,-253.6784,243.8844,-181.7643,NULL,-273.2335,363.3325,168.754,NULL,0.5765,0.6673,0,0,0,-1,60.89577,FLAG,244334.231642,2,0.879541248083115,0.473860253726631,0.517214249637547,-1.3620545406712,-1.60613445997922,24.8218892313566,-0.401737429048511,-0.346148546966215,0.847813789422341,0.630276059215922,-0.235992500953776,0.739634794119929,full,original
1681827797753,0,-255.4,347.3404,-181.7739,0.3906751,0,0,NULL,1.7029,-253.717,243.9149,-181.5143,NULL,-273.2335,363.3325,168.754,NULL,0.7333,0.6703,0,0,0,-1,60.89577,FLAG,244334.2515595,3,0.865224450826645,0.472476057751829,0.503568693653429,-1.46725133361418,-1.16012844387022,25.2164298268553,-0.401767122922055,-0.343890874344539,0.8487180011532,0.627337073854845,-0.220572644467566,0.746857352029038,full,original
1681827797770,0,-255.4,347.372,-181.487,0.4882268,0,0,NULL,1.6592,-253.7602,243.9506,-181.2341,NULL,-273.2335,363.3325,168.754,NULL,0.595,0.7273,0,0,0,-1,60.89577,FLAG,244334.26355,3,0.995109081268311,0.429366729337466,0.347222693572091,-27.6872863627135,28.5267260569594,166.178094418587,0.482317497067301,-0.34302121195247,0.806043596943362,0.382434013782615,-0.00097613419822784,0.923982290016505,full,original
1681827797787,0,-255.4,347.4008,-181.1702,0.5938216,-3e-08,0,NULL,1.6109,-253.8079,243.9901,-180.9246,NULL,-273.2335,363.3325,168.754,NULL,0.6179,0.7472,0,0,0,-1,59.32219,FLAG,244334.286176,4,0.869915962219238,0.470304695920565,0.498684127923783,-1.63199153447589,-1.01161276651286,25.7193139538003,-0.401341389306789,-0.343508150076007,0.849074343070532,0.622214223817026,-0.212120117040828,0.753561222215131,full,original
1681827797803,0,-255.4,347.4271,-180.8244,0.7066407,-3e-08,0,NULL,1.5582,-253.86,244.0331,-180.5869,NULL,-273.2335,363.3325,168.754,NULL,0.6179,0.7472,0,0,0,-1,59.32219,FLAG,244334.301606,4,0.863226503133774,0.471856958176024,0.496798110812608,-1.51947474372225,-0.935651489700374,25.4641569085758,-0.401417864554621,-0.342943718951381,0.849266332576656,0.625452333719388,-0.212236535028358,0.750842880664209,full,original
1681827797819,0,-255.4,347.4509,-180.4506,0.8259183,0,0,NULL,1.5012,-253.9163,244.0796,-180.2218,NULL,-273.2335,363.3325,168.754,NULL,0.6176,0.7424,0,0,0,-1,59.32219,FLAG,244334.315566,4,0.884413599967957,0.47197178971458,0.498653924779188,-1.5158863065708,-1.00253070599182,25.5211801529913,-0.400838711811595,-0.344116821823145,0.849065333205613,0.624878113314562,-0.212751245215192,0.751175246636774,full,original
1681827797837,0,-255.4,347.4726,-180.0498,0.9509403,0,0,NULL,1.4401,-253.9767,244.1242,-179.8303,NULL,-273.2335,363.3325,168.754,NULL,0.6176,0.7424,0,0,0,-1,60.82429,FLAG,244334.3355275,5,0.911775286197662,0.515166450683229,0.556953110797036,1.06582937734464,-2.79672414752681,23.3906392976769,-0.368374472450201,-0.382487964984007,0.847350697580069,0.660333796172993,-0.248882920123396,0.708531276446295,full,original
1681827797854,0,-255.4,347.4922,-179.623,1.081038,0,0,NULL,1.375,-254.041,244.1643,-179.4134,NULL,-273.2335,363.3325,168.754,NULL,0.6176,0.7424,0,0,0,-1,60.82429,FLAG,244334.3515355,5,0.92489817738533,0.529207801121399,0.570435686521674,1.87081708950384,-3.23768668179162,23.3470570825099,-0.353886374440582,-0.394588345371668,0.847976692888519,0.666458939868674,-0.250650075978018,0.702144586877473,full,original
1681827797870,0,-255.4,347.51,-179.1711,1.21559,0,0,NULL,1.3062,-254.1091,244.2067,-178.972,NULL,-273.2335,363.3325,168.754,NULL,0.781,0.987,0,0,0,-1,59.80933,FLAG,244334.36559,6,0.932880729436874,0.539303168765622,0.574320374756977,2.50264813427599,-3.43823937172389,23.8025114074046,-0.339945269739988,-0.392225583347219,0.854749264608833,0.668186403133125,-0.254872687925381,0.698975567253754,full,original
1681827797886,0,-255.4,347.5262,-178.695,1.354015,-3e-08,0,NULL,1.2336,-254.1808,244.2515,-178.507,NULL,-273.2335,363.3325,168.754,NULL,0.6027,0.7181,0,0,0,-1,59.80933,FLAG,244334.381901,6,0.941491425037384,0.543745769773302,0.581310837064058,2.78684168284564,-3.70111690000215,23.9547983781496,-0.333587344961143,-0.3938673581195,0.85649751166582,0.668807220959499,-0.259908818802292,0.696523012614249,full,original
1681827797902,0,-255.4,347.5407,-178.1957,1.495773,-3e-08,0,NULL,1.1575,-254.256,244.2946,-178.0193,NULL,-273.2335,363.3325,168.754,NULL,0.6022,0.7165,0,0,0,-1,59.80933,FLAG,244334.3995175,6,0.916659355163574,0.547193309314052,0.590587150187463,2.98411551963428,-4.00130394793556,23.8375054993859,-0.330119483829794,-0.402563889215437,0.853793559061962,0.670374936214603,-0.261420263171231,0.694447183663921,full,original
1681827797919,0,-255.4,347.5539,-177.674,1.640362,0,0,NULL,1.078,-254.3346,244.3345,-177.5097,NULL,-273.2335,363.3325,168.754,NULL,0.6022,0.7165,0,0,0,-1,60.06583,FLAG,244334.415588,7,0.982971727848053,0.555345639633996,0.599832756657743,3.49231027994807,-4.34338694663648,23.9218787518451,-0.320020266067576,-0.411837107835002,0.853215814384695,0.672984685943999,-0.261447243363371,0.691908195805304,full,original
